CustomersTargeted,Profit
192,-11916.2703487595
193,-12113.664737469348
194,-12313.980336534083
195,-12515.051835297048
196,-12718.43284894336
197,-12922.092158484877
198,-13128.009990389826
199,-13334.224412026315
200,-13541.680708302836
201,-13750.244402985953
202,-13958.999992351239
203,-14168.840034553068
204,-14379.20907237895
205,-14590.47224440559
206,-14802.303679155202
207,-15014.240778542704
208,-15226.231833452346
209,-15438.741732070912
210,-15654.498179072369
211,-15871.577541745315
212,-16088.812178441396
213,-16306.176222789987
214,-16524.386000343166
215,-16742.62966968827
216,-16961.094270897203
217,-17182.243558425584
218,-17403.583116297064
219,-17624.9640926184
220,-17846.611043731544
221,-18069.71974862533
222,-18293.676739386927
223,-18521.895682729522
224,-18750.350271442727
225,-18979.9530255624
226,-19209.946367806784
227,-19441.220418853824
228,-19672.622183467338
229,-19904.48608993858
230,-20136.899996224056
231,-20371.12311638691
232,-20605.629838512123
233,-20840.353978280564
234,-21075.843736511724
235,-21311.64191364283
236,-21549.11266384613
237,-21788.423611083967
238,-22028.189183583294
239,-22268.137930018427
240,-22508.793944333658
241,-22751.630650206567
242,-22994.471736659303
243,-23237.813121814223
244,-23481.432484520243
245,-23725.63983314929
246,-23971.54137258994
247,-24218.194609116945
248,-24465.254126123727
249,-24712.52648013542
250,-24960.57497756183
251,-25209.337769927068
252,-25458.715526196742
253,-25708.252914692977
254,-25958.669541204345
255,-26209.263790276633
256,-26460.630842259605
257,-26713.07597270138
258,-26967.258140386428
259,-27222.489790424257
260,-27478.39939423136
261,-27734.34190156363
262,-27990.341578314587
263,-28247.14499517774
264,-28504.085855931222
265,-28761.94546019627
266,-29020.177761455077
267,-29279.56126199729
268,-29539.78506035821
269,-29801.069039291102
270,-30062.79300412704
271,-30324.84890332534
272,-30587.35592714901
273,-30850.088866649676
274,-31113.3326368255
275,-31376.70886416212
276,-31640.630963205254
277,-31904.88749793164
278,-32169.930764757308
279,-32435.286364650103
280,-32701.168395513905
281,-32967.59125573679
282,-33234.50597388051
283,-33503.65093606808
284,-33773.10978554956
285,-34042.78954573016
286,-34313.096462684574
287,-34585.35589218518
288,-34858.19017117973
289,-35131.14843655249
290,-35404.123272724915
291,-35677.50236832325
292,-35952.64734810895
293,-36228.93861169204
294,-36506.003601050776
295,-36783.08267546838
296,-37060.469680775226
297,-37338.509239044106
298,-37617.09345000374
299,-37896.36954263714
300,-38177.69620916481
301,-38460.32861227874
302,-38743.520553238435
303,-39027.569701764194
304,-39311.91252294542
305,-39596.39548603354
306,-39880.89081910437
307,-40165.683516147794
308,-40450.73642375822
309,-40735.86782951805
310,-41021.44203344779
311,-41307.6056926536
312,-41594.04574869551
313,-41880.89484134296
314,-42168.075773889
315,-42455.524352813496
316,-42743.12660845672
317,-43031.27765300066
318,-43319.65700060674
319,-43608.32090670412
320,-43898.158627681594
321,-44188.08899214044
322,-44478.134127759135
323,-44768.21160188053
324,-45058.370512188216
325,-45349.00140986872
326,-45639.88289177139
327,-45931.16266496631
328,-46222.71574236979
329,-46514.61322039056
330,-46806.53405661454
331,-47098.55613403204
332,-47390.647763581925
333,-47682.837330938404
334,-47975.129331992626
335,-48268.0187184052
336,-48562.89359400943
337,-48857.893312679276
338,-49153.75541750603
339,-49449.676391643894
340,-49745.809309507946
341,-50042.14589962999
342,-50338.67735408566
343,-50635.2744153876
344,-50933.341381921484
345,-51231.9857727484
346,-51531.56618166915
347,-51832.15598317626
348,-52132.76479987042
349,-52433.53823047479
350,-52735.07451094158
351,-53037.24679977146
352,-53341.698240620804
353,-53646.69306944658
354,-53953.455572381674
355,-54260.357452210315
356,-54567.97531794369
357,-54876.08032744681
358,-55184.37846995588
359,-55492.921884401345
360,-55801.917683032705
361,-56111.68968889576
362,-56422.84917457112
363,-56734.44371667932
364,-57046.80226157682
365,-57359.2928908821
366,-57672.17132928594
367,-57985.51654656363
368,-58299.14818403124
369,-58613.5820465419
370,-58928.02436333394
371,-59244.2347033985
372,-59562.874743325425
373,-59883.47689333564
374,-60204.38546007868
375,-60526.061799150506
376,-60848.5549190025
377,-61171.288099436184
378,-61494.79371353679
379,-61820.787745883215
380,-62147.025755918265
381,-62473.651232882614
382,-62800.92318698677
383,-63128.52484697996
384,-63456.7121777336
385,-63785.49920621549
386,-64114.45987207436
387,-64443.99682923937
388,-64776.394328195616
389,-65109.27219961798
390,-65443.223678033
391,-65777.67537019515
392,-66112.30403515382
393,-66448.42089238248
394,-66784.79468095557
395,-67121.50417887678
396,-67458.81353757552
397,-67797.16394703402
398,-68136.11524912101
399,-68475.52658226625
400,-68815.37639283983
401,-69156.55672464521
402,-69497.79307437387
403,-69839.11762950555
404,-70180.96666513175
405,-70523.2149545373
406,-70865.69963347753
407,-71208.46234541108
408,-71551.72661244433
409,-71895.42932581384
410,-72239.20471728308
411,-72584.50840535926
412,-72930.06593299207
413,-73275.66076700561
414,-73621.29680526248
415,-73967.33969451679
416,-74313.5210786573
417,-74659.88122613313
418,-75007.5289199031
419,-75355.32478117672
420,-75704.3485748335
421,-76054.06155849506
422,-76404.4235420518
423,-76755.02453696945
424,-77106.51632859837
425,-77458.09634116385
426,-77809.7583619543
427,-78161.89199356484
428,-78514.46144702221
429,-78867.22764812982
430,-79220.4871791914
431,-79574.06595669153
